LECROYWS4104HD,19252,Waveform
Segments,1,SegmentSize,125002
Segment,TrigTime,TimeSinceSegment1
#1,28-Nov-2024 18:55:41,0                 
Time,Ampl
2.3304587e-005,0.0199599
2.3304987e-005,0.0246657
2.3305387e-005,0.0246657
2.3305787e-005,0.0364301
2.3306187e-005,0.0270186
2.3306587e-005,0.0293715
2.3306987e-005,0.0246657
2.3307387e-005,0.0270186
2.3307787e-005,0.0199599
2.3308187e-005,0.0293715
2.3308587e-005,0.0293715
2.3308987e-005,0.0270186
2.3309387e-005,0.0340772
2.3309787e-005,0.0293715
2.3310187e-005,0.0199599
2.3310587e-005,0.0317243
2.3310987e-005,0.0223128
2.3311387e-005,0.0293715
2.3311787e-005,0.0223128
2.3312187e-005,0.0223128
2.3312587e-005,0.0105484
2.3312987e-005,0.0223128
2.3313387e-005,0.0246657
2.3313787e-005,0.0129013
2.3314187e-005,0.0246657
2.3314587e-005,0.0176071
2.3314987e-005,0.0246657
2.3315387e-005,0.0270186
2.3315787e-005,0.0270186
2.3316187e-005,0.0246657
2.3316587e-005,0.0199599
2.3316987e-005,0.0223128
2.3317387e-005,0.0223128
2.3317787e-005,0.0293715
2.3318187e-005,0.0317243
2.3318587e-005,0.0246657
2.3318987e-005,0.0317243
2.3319387e-005,0.0270186
2.3319787e-005,0.0223128
2.3320187e-005,0.0246657
2.3320587e-005,0.0270186
2.3320987e-005,0.0223128
2.3321387e-005,0.0246657
2.3321787e-005,0.0223128
2.3322187e-005,0.0246657
2.3322587e-005,0.0223128
2.3322987e-005,0.0199599
2.3323387e-005,0.0270186
2.3323787e-005,0.0199599
2.3324187e-005,0.0317243
2.3324587e-005,0.0246657
2.3324987e-005,0.0152542
2.3325387e-005,0.0293715
2.3325787e-005,0.0317243
2.3326187e-005,0.0317243
2.3326587e-005,0.0246657
2.3326987e-005,0.0246657
2.3327387e-005,0.0270186
2.3327787e-005,0.0246657
2.3328187e-005,0.0270186
2.3328587e-005,0.0317243
2.3328987e-005,0.0223128
2.3329387e-005,0.0317243
2.3329787e-005,0.0176071
2.3330187e-005,0.0176071
2.3330587e-005,0.0270186
2.3330987e-005,0.0176071
2.3331387e-005,0.0293715
2.3331787e-005,0.0270186
2.3332187e-005,0.038783
2.3332587e-005,0.0340772
2.3332987e-005,0.0293715
2.3333387e-005,0.0293715
2.3333787e-005,0.0364301
2.3334187e-005,0.0223128
2.3334587e-005,0.0317243
2.3334987e-005,0.0223128
2.3335387e-005,0.0176071
2.3335787e-005,0.0317243
2.3336187e-005,0.0152542
2.3336587e-005,0.0105484
2.3336987e-005,0.0176071
2.3337387e-005,0.0199599
2.3337787e-005,0.0223128
